movie_id,preference_key,movie_title,star_cast,rating,year,place,vote,link
88,4,Cantando bajo la lluvia,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.28022973,1952,88,,/title/tt0045152/
89,1,El regreso del Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.27886713,1983,89,,/title/tt0086190/
90,2,Perros de reserva,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.27475983,1992,90,,/title/tt0105236/
91,3,Eterno resplandor de una mente sin recuerdos,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.27453946,2004,91,,/title/tt0338013/
92,4,2001: odisea del espacio,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.273644301,1968,92,,/title/tt0062622/
93,1,El ciudadano Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.265286263,1941,93,,/title/tt0033467/
94,2,Cielo e infierno,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.265124023,1963,94,,/title/tt0057565/
95,3,Lawrence de Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.262919679,1962,95,,/title/tt0056172/
96,4,M el maldito,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.261339518,1931,96,,/title/tt0022100/
97,1,Cafarnaúm: la ciudad olvidada,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.261186073,2018,97,,/title/tt8267604/
98,2,Intriga internacional,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.261018622,1959,98,,/title/tt0053125/
99,3,Jagten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.259620802,2012,99,,/title/tt2106476/
100,4, De entre los muertos,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.254912778,1958,10,,/title/tt0052357/
101,1,Amelie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.254569483,2001,101,,/title/tt0211915/
102,2,Naranja mecánica,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.254232788,1971,102,,/title/tt0066921/
103,3,Cara de guerra,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.248392454,1987,103,,/title/tt0093058/
104,4,Caracortada,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.246209328,1983,104,,/title/tt0086250/
105,1,Pacto de sangre,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.243289575,1944,105,,/title/tt0036775/
106,2,Ven y mira,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.242532325,1985,106,,/title/tt0091251/
107,3,Piso de soltero,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.240794464,1960,107,,/title/tt0053604/
108,4,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.23958686,1976,108,,/title/tt0075314/
109,1,Matar a un ruiseñor,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.236280555,1962,109,,/title/tt0056592/
110,2,El golpe,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.234644517,1973,110,,/title/tt0070735/
111,3,Los Ángeles al desnudo,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.234358829,1997,111,,/title/tt0119488/
112,4,"Up, una aventura de altura","Pete Docter (dir.), Edward Asner, Jordan Nagai",8.234354117,2009,112,,/title/tt1049413/
113,1,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.234215294,2020,113,,/title/tt8503618/
114,2,Fuego contra fuego,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.231973693,1995,114,,/title/tt0113277/
115,3,Ikiru - Vivir,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.230669218,1952,115,,/title/tt0044741/
116,4,Snatch: Cerdos y diamantes,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.230425723,2000,116,,/title/tt0208092/
117,1,Duro de matar,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.229985726,1988,117,,/title/tt0095016/
118,2,Indiana Jones y la última cruzada,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.228246787,1989,118,,/title/tt0097576/
119,3,Una separación,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.22779729,2011,119,,/title/tt1832382/
120,4,Metrópolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.226851537,1927,120,,/title/tt0017136/
121,1,Ladrones de bicicletas,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.22312965,1948,121,,/title/tt0040522/
122,2,La mujer que cantaba,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.222733585,2010,122,,/title/tt1255953/
123,3,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.220025396,2019,123,,/title/tt8579674/
